epoch,train_loss,val_loss
1,0.6806811361170527,0.5961494015322791
2,0.5369698485331749,0.6035516030258603
3,0.430023026110521,0.38075399067666793
4,0.38483812849023447,0.3417941911353005
5,0.35059268950526395,0.3863474660449558
6,0.3179630530414297,0.38120389150248635
7,0.2722196554514899,0.27333326306607986
8,0.2609590512158266,0.24277426468001473
9,0.27307220715195385,0.2502432448996438
10,0.2377916832468403,0.21229756706290775
11,0.22733101660191124,0.22500680304235882
12,0.2245728391319958,0.20749890887075
13,0.2126854983950729,0.2124198062552346
14,0.20718500118202238,0.20433888336022696
15,0.2056297369634927,0.20416257944371966
16,0.19849205984553295,0.24474480168686974
17,0.1996917309823321,0.19898251609669793
18,0.19484394599697483,0.19405276907814872
19,0.19404572704389914,0.2045885349313418
20,0.1878642070649275,0.1783242548505465
