epoch,train_loss,val_loss
1,0.04782644637040238,0.1649903320810861
2,0.027515342709288668,0.16395394788641068
3,0.02295091539732556,0.021388198662963178
4,0.02014007233083248,0.01975000609592017
5,0.018616620979424733,0.01911252020444307
6,0.019949246385593467,0.0238518374454644
7,0.01797482226766757,0.020936222333047125
8,0.0172244103264008,0.016968663652530976
9,0.016800516312802907,0.020548853221245937
10,0.015315947303576256,0.016115186891208094
11,0.014953304867524265,0.018082539033558633
12,0.014738918664350883,0.019284032931965258
13,0.014866166546551594,0.018530048843887117
14,0.015873668534653402,0.019736633610187307
15,0.014853715750652908,0.0143335508958747
16,0.013912018687366995,0.015285007461595038
17,0.015241891805972182,0.022078298032283783
18,0.016126537528723034,0.022600696939561103
19,0.01445330037916107,0.017046041838410828
20,0.014229677089337093,0.01500174475626813
