config,map_mean,map_std,count_error_mean,count_error_std,count_bias_mean,count_bias_std
CE,0.5040213452853737,0.004809331848022709,8.43939393939394,0.1499923475244184,-7.409090909090909,0.23570226039551626
Focal γ=2,0.5032710584548303,0.005516385930703261,8.59090909090909,0.10713739108887012,-6.96969696969697,0.8142441722754189
Focal γ=1,0.4949162362755731,0.005366672941813723,8.742424242424242,0.3428396514843864,-6.803030303030303,1.3713586059375469
Weighted CE,0.47697917027345316,0.00937974778073894,8.568181818181818,0.11785113019775875,-6.704545454545455,0.8035304331665309
Focal γ=5,0.43504545760422153,0.03430004681130262,8.56060606060606,0.4071220861377082,-6.636363636363637,0.5142594772265802
