epoch,train_loss,val_loss
1,0.5074071850794465,0.3056007921695709
2,0.2697121979140524,0.27400315139028764
3,0.23532925168080115,0.2544167637825012
4,0.20406108805492743,0.23225532803270552
5,0.19175487767849395,0.22141575730509228
6,0.20750618092159726,0.2900446438127094
7,0.19859843089509366,0.27680913110574085
8,0.20514697436966114,0.198381245136261
9,0.16758440512774594,0.20157321211364534
10,0.1645563611788536,0.18393571260902616
11,0.16361593827605247,0.20619882229301664
12,0.16379662458576374,0.17347238295608097
13,0.15455443395385102,0.16066307740079033
14,0.1667743500377705,0.24231415490309396
15,0.16475835798391655,0.1708644719587432
16,0.1517163794209708,0.15686902403831482
17,0.1510499400545412,0.17206441362698874
18,0.15433126087508983,0.1773793167538113
19,0.15031552103473178,0.1603489336040285
20,0.14395792003887803,0.15543033182621002
