index,image_path,map_50_95,n_true,n_pred,count_error,median_diameter_px,contact_fraction,mean_intensity,contrast_std,gt_merged,gt_split
24,data/raw/0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426/images/0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,0.3464059735155957,62,49,13,17.571127146237117,0.020140428677014044,0.06536392867565155,0.08171910047531128,18,1
14,data/raw/29ea4f6eb4545f43868a9b40a60000426bf8dfd9d062546656a37bd2a2aaf9ec/images/29ea4f6eb4545f43868a9b40a60000426bf8dfd9d062546656a37bd2a2aaf9ec.png,0.3519006071328053,13,10,3,18.948708441878455,0.004342581423401689,0.006067074369639158,0.0229148268699646,0,0
31,data/raw/5afb7932e9c7328f4fb1d7a8166a3699d6cdc5192b93758a75e9956f1513c5a3/images/5afb7932e9c7328f4fb1d7a8166a3699d6cdc5192b93758a75e9956f1513c5a3.png,0.36765215786197547,272,188,84,10.02925341359355,0.05403690325100068,0.16491442918777466,0.11136607825756073,90,2
21,data/raw/03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776/images/03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,0.3789663717924588,16,15,1,10.310894672783327,0.0424,0.06616079807281494,0.09075294435024261,0,3
43,data/raw/f8e74d4006dd68c1dbe68df7be905835e00d8ba4916f3b18884509a15fdc0b55/images/f8e74d4006dd68c1dbe68df7be905835e00d8ba4916f3b18884509a15fdc0b55.png,0.4120120239567112,57,40,17,16.50676414605009,0.008082921262837581,0.03736625984311104,0.05307820066809654,10,0
48,data/raw/bf4a61bb81589c9a67e3343408befd3e135af5e88b50c17f998f2131d24bc271/images/bf4a61bb81589c9a67e3343408befd3e135af5e88b50c17f998f2131d24bc271.png,0.42000000000000004,3,3,0,13.911592676604096,0.0,0.7037317752838135,0.07696111500263214,0,0
33,data/raw/01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf/images/01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,0.44653679653679645,7,8,1,28.18690255978371,0.0008798944126704796,0.6927781701087952,0.09862502664327621,0,0
18,data/raw/abbfff07379bceb69dba41dad8b0db5eb80cc8baf3d4af87b7ee20b0dac32215/images/abbfff07379bceb69dba41dad8b0db5eb80cc8baf3d4af87b7ee20b0dac32215.png,0.4531432727070882,37,31,6,19.511499785403828,0.0029292929292929295,0.03819233179092407,0.05511661246418953,4,0
53,data/raw/7d40ea6ead1bec903f26d9046d291aedcb12a584b4d3b337ea252b34c7d86072/images/7d40ea6ead1bec903f26d9046d291aedcb12a584b4d3b337ea252b34c7d86072.png,0.4747768961897818,21,20,1,35.413852537730705,0.004825150475053474,0.04410615935921669,0.033410701900720596,2,2
54,data/raw/fadeb0ab092833f27daaeb3e24223eb090f9536b83f68cde8f49df7c544f711b/images/fadeb0ab092833f27daaeb3e24223eb090f9536b83f68cde8f49df7c544f711b.png,0.47557000545983985,39,37,2,9.640875829802336,0.006873879258816497,0.07358890026807785,0.07695745676755905,4,3
3,data/raw/1f9e429c12f4477221b5b855a5f494fda2ef6d064ff75b061ffaf093e91758c5/images/1f9e429c12f4477221b5b855a5f494fda2ef6d064ff75b061ffaf093e91758c5.png,0.4757687565911213,77,62,15,9.440697438826296,0.03155522163786627,0.07425058633089066,0.07746268063783646,12,1
45,data/raw/a22b7882fa85b9f0fcef659a7b82bfcddf01710f9a7617a9e036e84ac6901841/images/a22b7882fa85b9f0fcef659a7b82bfcddf01710f9a7617a9e036e84ac6901841.png,0.47821337906611194,31,25,6,18.29923496393627,0.011164452383610584,0.030430153012275696,0.050145819783210754,0,0
10,data/raw/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c/images/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c.png,0.4864250923308105,106,96,10,11.506722766818191,0.010836049687252224,0.08764780312776566,0.059348467737436295,3,1
19,data/raw/d910b2b1be8406caecfe31a503d412ffc4e3d488286242ebc7381836121dd4ef/images/d910b2b1be8406caecfe31a503d412ffc4e3d488286242ebc7381836121dd4ef.png,0.4990433315088487,24,17,7,14.18662146283229,0.025582974869821147,0.0676121786236763,0.04962700605392456,6,0
50,data/raw/30311520606ec99b6a810ae1a9a753df991777d374212423bb075c408a98ed74/images/30311520606ec99b6a810ae1a9a753df991777d374212423bb075c408a98ed74.png,0.5288595737812034,46,42,4,10.614782452012559,0.0389545111837145,0.09201899915933609,0.1381346434354782,0,0
34,data/raw/8a26b134fe9343c0c794513dae7787b7ac1debec3bb2a7096ab0b874a31d8175/images/8a26b134fe9343c0c794513dae7787b7ac1debec3bb2a7096ab0b874a31d8175.png,0.5322996823182088,29,25,4,14.093451279891855,0.020297427652733117,0.07604669779539108,0.07919981330633163,3,0
60,data/raw/92e7e86e765e05ce331c07a6d14f0a696eac7ee40058699243900f40b696d7aa/images/92e7e86e765e05ce331c07a6d14f0a696eac7ee40058699243900f40b696d7aa.png,0.5407239819004525,12,8,4,16.051716080135094,0.010309278350515464,0.05648522451519966,0.03413168340921402,2,0
36,data/raw/d827a7d80fc67487a3237135e0d43ae01b7bbcb135e1a167601fc974a8348c51/images/d827a7d80fc67487a3237135e0d43ae01b7bbcb135e1a167601fc974a8348c51.png,0.5420448840612598,29,29,0,16.195287778099022,0.007124051417066749,0.04130847379565239,0.06126663461327553,0,0
25,data/raw/ae9f76b5360df3f60f3cdd389652b96e823080bb830dd8c79e7f1e597d51bc1c/images/ae9f76b5360df3f60f3cdd389652b96e823080bb830dd8c79e7f1e597d51bc1c.png,0.5489154608857292,73,57,16,9.23618154310838,0.013140096618357487,0.078553207218647,0.09579784423112869,6,0
