epoch,train_loss,val_loss
1,0.4823833744027721,0.7108384304576449
2,0.2568715010116349,0.2695340696308348
3,0.19653132869236506,0.34863674971792435
4,0.1769473364771302,0.35636941260761684
5,0.16436115201951854,0.165660313434071
6,0.16039244986292142,0.1740944360693296
7,0.1474742202171639,0.14841010918219885
8,0.1398503710307292,0.14461798634794024
9,0.13461952300658866,0.13239564332697126
10,0.13131847655150428,0.15442203564776313
11,0.12287920757905761,0.13450313028362063
12,0.11962077722175797,0.159114265607463
13,0.12369015479265753,0.15067249370945823
14,0.11933463211379834,0.1445194954673449
15,0.11735885857201334,0.1141752844883336
16,0.11502389298446143,0.1329322357972463
17,0.11902610907581315,0.1291775405406952
18,0.11399231856661056,0.11205733484692043
19,0.11675529904774766,0.13224811603625616
20,0.11090167522875231,0.12031206778354114
