eixo,intensidade,map,count_error
nenhum,0.0,0.49346844474412366,12.029850746268657
blur,1.0,0.4309564762520455,13.373134328358208
blur,2.0,0.28579688286398736,17.238805970149254
blur,4.0,0.14973315724645803,27.507462686567163
ruido,0.05,0.2498116985611943,24.059701492537314
ruido,0.1,0.0878726972130224,42.343283582089555
ruido,0.2,0.018768521280836652,48.46268656716418
brilho,0.15,0.13410459510660228,37.07462686567164
brilho,0.3,0.024852339137699516,47.55223880597015
brilho,0.45,0.0,50.44776119402985
