config,architecture,n_seeds,map_mean,map_std,count_error_mean,count_error_std,count_bias_mean,count_bias_std
U-Net + skips,unet,2,0.4885264793066424,0.006988994546465092,12.238805970149254,0.29550731154064697,-11.925373134328357,0.4854762975310623
U-Net + ASPP,aspp,2,0.4424325463537732,0.02075059931774854,12.798507462686567,0.685999116076501,-12.5,0.5171377951961309
U-Net sem skips,no_skips,2,0.2698977769471286,0.07700287017550221,25.01492537313433,7.978697411597462,-24.91044776119403,8.084235737147694
