epoch,train_loss,val_loss
1,0.513259083032608,0.3473321712679333
2,0.28063923164979737,0.3373514198594623
3,0.22499248285346957,0.24743811786174774
4,0.21425146098012354,0.32434567477968
5,0.2150866076795023,0.21177788161569172
6,0.18216024339199066,0.19724411848518583
7,0.17088516723753802,0.1716242109735807
8,0.15944284979087203,0.16584380053811604
9,0.15758032329491714,0.1790217931071917
10,0.15699173999366475,0.19052672800090578
11,0.15135575786455355,0.1742804447809855
12,0.15181352437209727,0.16532276570796967
13,0.15099389817732484,0.17620493223269781
14,0.15212306580436763,0.17250664118263456
15,0.14461825376571114,0.14524391459094155
16,0.14272531961549573,0.15813445134295356
17,0.14935246221165158,0.1650475180811352
18,0.15075905598811248,0.14958791683117548
19,0.14932969012367192,0.15752442843384212
20,0.14006451995515112,0.1389128714799881
