epoch,train_loss,val_loss
1,0.2894477386083176,0.17536559949318567
2,0.1844710776610161,0.21823393801848093
3,0.1393232165432688,0.12022656657629543
4,0.13592568412423134,0.14637156161997053
5,0.14206049357777212,0.20449173698822656
6,0.11934906639047523,0.11588026189969645
7,0.10266072230774966,0.09674859874778324
8,0.10669304641769893,0.10782638771666421
9,0.09699130942350004,0.10991065286927754
10,0.09302877490200213,0.09038863662216398
11,0.0866442398348851,0.0855648024007678
12,0.09543081967910724,0.1948966301149792
13,0.08802445143906039,0.08603367530223396
14,0.08186906804122142,0.08426221315231588
15,0.0802092909145711,0.07604986139469677
16,0.07440551637268777,0.07496983806292216
17,0.07824813096380945,0.07858747202489111
18,0.07455642201673629,0.07753279298130009
19,0.07494430505295298,0.08113399955133598
20,0.08071425078964944,0.0884634843096137
