epoch,train_loss,val_loss
1,0.473659288749766,0.2754681342177921
2,0.21789466578568986,0.19194108868638673
3,0.179915651679039,0.16855670221977764
4,0.15671155023485867,0.15735731480850113
5,0.14914173532777758,0.1453682817518711
6,0.14267956348719882,0.14671402424573898
7,0.12996703008217597,0.134338756195373
8,0.1361442337285227,0.15649065954817665
9,0.15160688891339658,0.14841377921402454
10,0.13165536728590282,0.13302857552965483
11,0.1237972866910607,0.2878702947249015
12,0.12438155899741757,0.14357759141259724
13,0.12022315699662735,0.13973411110540232
14,0.12874043599438312,0.17253069807257918
15,0.12134206189370866,0.12801036921640238
16,0.11632047321146993,0.13472416003545126
17,0.11940855938774436,0.15410994158850777
18,0.11480340000186394,0.1247517934275998
19,0.11119383529051026,0.1289622351113293
20,0.11026902724780253,0.11888244561851025
